# Symbol Reference File
# Format: SYMBOL_NAME ADDRESS
SSF_GateStates_Mode6D 0xE01B26
SSF_GateStates_Mode6E 0xE01B28
SSF_GateStates_Mode6F 0xE01B2A
SSF_GateStates_Mode70 0xE01B34
SSF_GateStates_Mode71 0xE01B3E
SSF_GateStates_Mode72 0xE01B48
SSF_GateStates_Mode73 0xE01B52
SSF_GateStates_Mode74 0xE01B5C
SSF_GateStates_Mode75 0xE01B66
SSF_GateStates_Mode76 0xE01B70
SSF_GateStates_Mode77 0xE01B7A
SSF_GateStates_Mode78 0xE01B7C
SSF_GateStates_Mode79 0xE01B86
SSF_GateStates_Mode7A 0xE01B88
SSF_GateStates_Mode7B 0xE01B92
SSF_GateStates_Mode7C 0xE01B94
SSF_GateStates_Mode7D 0xE01B96
SSF_GateStates_Mode7E 0xE01B98
SSF_GateStates_Mode7F 0xE01B9A
SSF_GateStates_Mode80 0xE01B9C
SSF_GateStates_Mode81 0xE01B9E
SSF_GateStates_Mode82 0xE01BA8
SSF_GateStates_Mode83 0xE01BB2
SSF_GateStates_Mode84 0xE01BB4
SSF_GateStates_Mode85 0xE01BB6
SSF_GateStates_Mode86 0xE01BC0
SSF_GateStates_Mode87 0xE01BCA
SSF_GateStates_Mode88 0xE01BD4
SSF_GateStates_Mode89 0xE01BDE
SSF_GateStates_Mode8A 0xE01BE0
SSF_GateStates_Mode8B 0xE01BE2
SSF_GateStates_Mode8C 0xE01BE4
SSF_GateStates_Mode8D 0xE01BE6
SSF_GateStates_Mode8E 0xE01BE8
SSF_GateStates_Mode8F 0xE01BEA
SSF_GateStates_Mode90 0xE01BEC
SSF_GateStates_Mode91 0xE01BEE
SSF_GateStates_Mode92 0xE01BF0
SSF_GateStates_Mode93 0xE01BF2
SSF_GateStates_Mode94 0xE01BF4
SSF_GateStates_Mode95 0xE01BF6
SSF_GateStates_Mode96 0xE01BF8
SSF_GateStates_Mode97 0xE01BFA
SSF_GateStates_Mode98 0xE01BFC
SSF_GateStates_Mode99 0xE01BFE
SSF_GateStates_Mode9A 0xE01C00
SSF_GateStates_Mode9B 0xE01C02
SSF_GateStates_Mode9C 0xE01C04
SSF_GateStates_Mode9D 0xE01C06
SSF_GateStates_Mode9E 0xE01C08
SSF_GateStates_Mode9F 0xE01C0A
SSF_GateStates_ModeA0 0xE01C0C
SSF_GateStates_ModeA1 0xE01C0E
SSF_GateStates_ModeA2 0xE01C10
SSF_GateStates_ModeA3 0xE01C12
SSF_GateStates_ModeA4 0xE01C14
SSF_GateStates_ModeA5 0xE01C16
SSF_GateStates_ModeA6 0xE01D9E
